Suburb,Address,Price,SellerG,Lattitude,Longtitude
Abbotsford,60 Stafford St,1290000,Biggin,-37.8007,144.9958
Abbotsford,11/205 Gipps St,470000,Nelson,-37.8055,144.9961
Abbotsford,47 Studley St,1180000,Jellis,-37.8016,144.9956
Abbotsford,45 Yarra St,1195000,Jellis,-37.8022,144.9954
Abbotsford,200 Nicholson St,1012500,Nelson,-37.8021,144.9976
Abbotsford,82/84 Trenerry Cr,970000,Biggin,,
Abbotsford,27 Charles St,1030000,Biggin,-37.8086,144.9946
Abbotsford,40/80 Trenerry Cr,927000,Biggin,,
Airport West,154 Halsey Rd,840000,Nelson,-37.718,144.878
Airport West,50 Bedford St,730000,Nelson,-37.7203,144.8755
Airport West,50 Bedford St,770000,Nelson,-37.7203,144.8755
Airport West,23 Hart St,603000,Nelson,-37.7294,144.888
Airport West,1/80 Hawker St,700000,Brad,-37.7218,144.8837
Airport West,1/37 Hillside Gr,600000,Maddison,-37.7273,144.8744
Airport West,2/49 McIntosh St,500000,Barry,-37.7215,144.8864
Airport West,4/9 West Ct,420000,Barry,,
Airport West,1/36 York St,500000,Nelson,,
Airport West,33 Bowes Av,1035000,Airport,,
Airport West,89 Bowes Av,960000,Barry,,
Airport West,45 Laurence Av,960000,Nelson,,
Airport West,54 Marshall Rd,720000,Barry,-37.7173,144.8872
Airport West,36 Roberts Rd,785000,Considine,-37.7259,144.8792
Airport West,11 Harrington Rd,725000,Barry,-37.7239,144.8735
Airport West,2/252 Parer Rd,450000,Barry,-37.7216,144.871
Airport West,3/19 Hart St,515000,Barry,-37.7298,144.8883
Airport West,81a Roberts Rd,680000,Nelson,,
Airport West,2/62 Clydesdale Rd,530000,Nelson,-37.7234,144.8792
Airport West,3 Deidre Ct,895000,Rendina,-37.7249,144.8728
Airport West,3/24 Elstone Av,600000,Nelson,,
Airport West,13 Etzel St,805000,Nelson,-37.7217,144.8783
Airport West,37a North St,760000,Barry,,
Airport West,1/43 Cameron St,752000,Nelson,-37.7302,144.8855
Airport West,1/69 Bowes Av,580000,Nelson,,
Airport West,2/9 El Reno Cr,725000,Ray,,
Airport West,92 McNamara Av,758000,Jellis,,
Airport West,145a Victory Rd,440000,Barry,-37.7177,144.8787
Airport West,20 Creswell Av,970000,Barry,,
Airport West,241 Parer Rd,755000,Propertyau,-37.7248,144.8699
Airport West,71 Bowes Av,985000,Barry,,
Airport West,2/40 Earl St,700000,Brad,-37.727,144.887
Airport West,2/112 Parer Rd,509500,Nelson,,
Airport West,180 Parer Rd,830000,Barry,-37.7186,144.876
Airport West,4/54 Hawker St,462500,Barry,-37.7218,144.8863
Airport West,43 Hillside Gr,670000,Barry,-37.7269,144.8742
Airport West,174 Parer Rd,675000,Barry,-37.7187,144.8765
Airport West,138 Victory Rd,1042000,Nelson,-37.7173,144.8796
Airport West,75 King St,910000,McDonald,-37.7231,144.8835
Airport West,6 Kittyhawk St,773000,Brad,-37.7263,144.8679
Airport West,7 McNamara Av,715000,Barry,,
Airport West,478 Fullarton Rd,810000,Barry,-37.7285,144.8694
Airport West,144 Marshall Rd,715000,Rendina,-37.7164,144.8792
Airport West,106 Parer Rd,790000,Nelson,-37.7194,144.8827
Airport West,1/41 Hillside Gr,460000,Nelson,,
Airport West,3/7 South Rd,540000,Nelson,-37.7231,144.8802
Airport West,37 North St,825000,Barry,-37.72,144.8776
Airport West,10 Hilbert Rd,685000,Barry,-37.7226,144.8733
Airport West,7/42 York St,445000,Brad,,
Airport West,110 Halsey Rd,805000,Barry,-37.7184,144.882
Airport West,2/13 North St,510000,Nelson,-37.7202,144.8797
Airport West,105a Victory Rd,612000,Nelson,-37.7181,144.8824
Airport West,117 Marshall Rd,662000,Brad,-37.7169,144.8815
Airport West,34 Moorna Dr,978000,Nelson,-37.7263,144.869
Airport West,33 North St,720000,Nelson,-37.72,144.878
Airport West,4/40 McNamara Av,474000,Barry,,
Airport West,5/93 McNamara Av,490000,Frank,,
Airport West,2/137 McNamara Av,405000,Ray,,
Airport West,1/46 Bowes Av,715000,Barry,,
Airport West,1/34 Elstone Av,671500,McDonald,,
Airport West,49 Roberts Rd,765000,Prof.,-37.7261,144.8785
Airport West,85 Roberts Rd,900000,Harcourts,-37.7256,144.8739
Airport West,22a Walters Av,820000,Nelson,,
Airport West,1/145 Parer Rd,650000,Nelson,,
Airport West,3/35 Walters Av,552000,Nelson,,
Albert Park,105 Kerferd Rd,1275000,hockingstuart,-37.8459,144.9555
Albert Park,85 Richardson St,1455000,Thomson,-37.845,144.9538
Albert Park,112 Beaconsfield Pde,2850000,Buxton,-37.8481,144.9499
Albert Park,94 Graham St,1850000,Greg,-37.8452,144.9488
Albert Park,396 Montague St,1436000,RT,-37.8431,144.9565
Albert Park,75 Graham St,1110000,Marshall,-37.8444,144.9484
Albert Park,54 Brooke St,1550000,Sotheby's,-37.8405,144.9521
Albert Park,104 Richardson St,2300000,Marshall,-37.8447,144.9523
Albert Park,4a Mills St,1550000,Marshall,-37.8443,144.9598
Albert Park,1 Moubray St,1800000,Greg,-37.8415,144.952
Albert Park,114 Victoria Av,2485000,Cayzer,,
Albert Park,29 Faussett St,2120000,Greg,-37.8422,144.9554
Albert Park,3 Herbert St,1800000,Cayzer,-37.8443,144.9579
Albert Park,24 Kerferd Pl,1800000,Marshall,-37.8421,144.9571
Albert Park,44 Draper St,1810000,Greg,-37.8379,144.9539
Albert Park,2 Dundas Pl,2615000,Cayzer,-37.8415,144.9585
Albert Park,23 Finlay St,2100000,Greg,-37.8436,144.9557
Albert Park,31 Richardson St,1300000,hockingstuart,-37.8422,144.949
Albert Park,4a Gatehouse La,1370000,Greg,-37.8451,144.9511
Albert Park,60 Brooke St,1000000,Cayzer,-37.8407,144.9523
Albert Park,70 Barrett St,2575000,Greg,-37.8445,144.9501
Albert Park,65 Graham St,1322500,Greg,-37.8443,144.9481
Albert Park,364 Montague St,1562500,Greg,-37.8424,144.9562
Albert Park,86 Mills St,2000000,RT,-37.847,144.9575
Albert Park,129 Kerferd Rd,1900000,Greg,-37.8468,144.9546
Albert Park,97 Page St,3010000,Greg,-37.8473,144.9551
Albert Park,55 Withers St,2800000,Cayzer,-37.8467,144.9475
Albert Park,10/140 Kerferd Rd,647000,Greg,-37.846,144.9542
Albert Park,55 Merton St,2100000,Marshall,-37.8427,144.9546
Albert Park,49 Page St,2000000,Marshall,-37.8461,144.9528
Albert Park,13/52 Moubray St,442500,Marshall,-37.8421,144.9517
Albert Park,115 Page St,4735000,Marshall,-37.8477,144.9558
Albert Park,32 Page St,1340000,Greg,-37.846,144.9517
Albert Park,34 Richardson St,1801000,hockingstuart,-37.8429,144.9493
Albert Park,2b Dundas Pl,1532000,Chisholm,-37.8415,144.9585
Albert Park,22 Greig St,3755000,Greg,-37.8413,144.95
Albert Park,27 Barrett St,2140000,Greg,-37.8434,144.9495
Albert Park,3 Faussett St,1810000,Marshall,,
Albert Park,44 Greig St,1750000,Marshall,-37.8416,144.9488
Albert Park,6 Brooke St,980000,Greg,-37.8387,144.9519
Albert Park,227a Danks St,2030000,hockingstuart,-37.8488,144.9551
Albert Park,17 Reed St,1740000,Marshall,-37.8448,144.9453
Albert Park,74 Bridport St,2800000,Buxton,-37.8399,144.9577
Albert Park,9 Durham St,985000,Marshall,-37.8411,144.9497
Alphington,6 Smith St,2000000,Brace,-37.7707,145.0318
Alphington,5/6 Yarralea St,1110000,Jellis,-37.7854,145.0325
Alphington,136A Fulham Rd,1492000,Jellis,-37.7713,145.0279
Alphington,1/9 Roemer Cr,480000,Miles,,
Alphington,2/21 Fulham Rd,1304000,Holland,,
Alphington,44 Shiers St,1717500,Collins,-37.7717,145.031
Alphington,83 Fulham Rd,2840000,Nelson,-37.775,145.0268
Alphington,3/19 Harker St,525500,Miles,-37.7791,145.0306
Alphington,4/2 Miller St,805000,Miles,-37.7804,145.0308
Alphington,2/5 Yarana Rd,465000,McGrath,-37.7773,145.0314
Alphington,69 Lucerne Cr,1480000,Nelson,,
Alphington,815 Heidelberg Rd,2000000,hockingstuart,-37.78,145.0341
Alphington,44 Naroon Rd,1540000,Nelson,-37.7755,145.0288
Alphington,1/17 Rex Av,590000,Nelson,,
Alphington,3/98 Grange Rd,820000,Nelson,-37.7747,145.0264
Alphington,10 Bennett St,1830000,Nelson,-37.7743,145.0316
Alphington,38 Bennett St,2100000,Nelson,-37.7723,145.0319
Alphington,2c Hamilton St,865000,hockingstuart,-37.7802,145.0243
Alphington,5/5 Yarana Rd,390000,Nelson,-37.7773,145.0314
Alphington,7/7 Chandler Hwy,650000,Brace,-37.7848,145.025
Alphington,1/14 Fulham Rd,512000,Love,-37.7805,145.0262
Alphington,17 Lowther St,1361000,Collins,-37.7796,145.0285
Alphington,13a Fulham Rd,1310000,Jellis,,
Alphington,32/23 Coate Av,570000,Thomas,,
Alphington,22 Lowther St,1165000,Barry,-37.7792,145.029
Alphington,6/11 Broomfield Av,530000,Jellis,,
Alphington,11 Margaret Gr,1900000,McGrath,-37.7844,145.0225
Alphington,6 Naroon Rd,1485000,McGrath,-37.7781,145.0284
Alphington,42 Shiers St,1950000,Jellis,-37.7719,145.0309
Altona,158 Queen St,520000,Greg,-37.87,144.825
Altona,59 Bracken Gr,1525000,Greg,-37.8721,144.8105
Altona,1/123 Blyth St,720000,hockingstuart,-37.8687,144.8197
Altona,4 Blyth St,1120000,Barlow,-37.8693,144.8375
Altona,20 Linnet St,780000,Sweeney,-37.868,144.8154
Altona,29 Rose St,1780000,Greg,-37.8681,144.819
Altona,1/170 Blyth St,630000,Barlow,-37.8702,144.8143
Altona,5/35 Grieve Pde,406000,hockingstuart,-37.8693,144.8171
Altona,156 Maidstone St,660000,Greg,-37.8616,144.8116
Altona,11 Keeshan Ct,683500,Greg,-37.8594,144.817
Altona,1/4 Deavey Ct,540000,hockingstuart,,
Altona,1/136 Queen St,580000,Barlow,-37.8696,144.827
Altona,173 Queen St,1335000,hockingstuart,-37.8697,144.8249
Altona,1/265 Queen St,800000,hockingstuart,-37.8734,144.8143
Altona,3/26 Grieve Pde,510000,Village,-37.8686,144.8182
Altona,261 Queen St,1070000,Barlow,-37.8733,144.8147
Altona,4/5 Rose St,425000,hockingstuart,-37.871,144.8185
Altona,1/60 David St,605000,Jas,-37.8646,144.827
Altona,1A Merritt Ct,705000,hockingstuart,-37.8579,144.8181
Altona,4/31 Millers Rd,391000,Greg,-37.8678,144.8384
Altona,111/112 Pier St,440000,hockingstuart,-37.8659,144.831
Altona,24 Wren St,845000,hockingstuart,-37.8658,144.8155
Altona,54 Seves St,766000,Williams,,
Altona,1/152 Blyth St,743000,Gunn&Co,-37.8698,144.816
Altona,2/6 Galvin St,650000,Williams,,
Altona,4/57 Blyth St,730000,Barlow,-37.868,144.8286
Altona,10 Wilga Av,916500,hockingstuart,,
Altona,164 Maidstone St,635000,Sweeney,-37.8611,144.8114
Altona,3/25 Rayner St,620000,hockingstuart,-37.8676,144.8202
Altona,3/46 Sargood St,447000,Burnham,-37.8655,144.8299
Altona,1/57 Blyth St,730000,Barlow,-37.868,144.8287
Altona,22 Fenfield St,678000,hockingstuart,-37.8608,144.8124
Altona,5/8 David St,580000,Biggin,-37.8687,144.8268
Altona,1/28 Seves St,712000,hockingstuart,-37.8674,144.8375
Altona,27 McIntyre Dr,840000,Greg,-37.86,144.8245
Altona,4 Boyd St,980000,Barlow,-37.8672,144.817
Altona,5a Emu Av,1000000,Barlow,,
Altona,12 Spear Ct,605100,hockingstuart,-37.8583,144.8172
Altona,185 Queen St,880000,Barlow,-37.8699,144.8235
Altona,3/20 Mulga St,577000,Williams,-37.8684,144.815
Altona,51 Millers Rd,1030000,Barlow,-37.8663,144.8387
Altona,2/119 Railway St N,605000,Barlow,-37.8659,144.822
Altona,12 Ransom Av,685000,Barlow,,
Altona,24 McIntyre Dr,753000,Barlow,-37.8612,144.8247
Altona,104 Maidstone St,857000,hockingstuart,-37.8653,144.8129
Altona,49 Bent St,1500000,Barlow,-37.8651,144.832
Altona,5/57 Blyth St,730000,Barlow,-37.868,144.8285
Altona,15 Kookaburra St,900000,Sweeney,-37.871,144.8075
Altona,219 Civic Pde,740000,Greg,-37.8631,144.8195
Altona,3 Curtin Ct,931000,Sweeney,-37.8637,144.8365
Altona,2/60 David St,535600,Compton,-37.8646,144.8272
Altona North,45 Hearn St,1085000,FN,-37.8388,144.8567
Altona North,4 Knapp St,781000,Jas,-37.8291,144.835
Altona North,103 Sixth Av,857500,hockingstuart,,
Altona North,80A Hansen St,960000,Sweeney,,
Altona North,21 Hatherley Gr,750000,Jas,-37.8449,144.85
Altona North,3/66 Marion St,421000,hockingstuart,-37.8351,144.8529
Altona North,153 Mills St,1405000,Sweeney,-37.8338,144.8562
Altona North,33 Carthy St,683000,FN,-37.8284,144.8355
Altona North,16 Harris St,623000,Sweeney,-37.8267,144.8368
Altona North,1/5 Little St,720000,Greg,-37.8379,144.8583
Altona North,58a Clematis Av,780000,hockingstuart,,
Altona North,1/77 Hansen St,720000,hockingstuart,,
Altona North,21 Joel Av,705000,Village,,
Altona North,1/95 Mills St,588000,Williams,-37.838,144.8555
Altona North,2/5 Stapley Cr,720000,hockingstuart,,
Altona North,5 Binns St,710000,Village,-37.8294,144.8378
Altona North,2/9 First Av,550000,RT,,
Altona North,1/28 Irwin Av,640000,hockingstuart,,
Altona North,3/49 Misten Av,537500,hockingstuart,,
Altona North,25 Allan St,875000,Jas,-37.8448,144.8529
Altona North,9 Fourth Av,800000,Barlow,,
Altona North,11a Edward Av,713500,Greg,,
Altona North,21 Hatherley Gr,700000,Jas,-37.8449,144.85
Altona North,1B Paproth Gr,551000,RT,,
Altona North,7 Seventh Av,685000,Greg,,
Altona North,1/256 Mason St,640000,Williams,-37.8397,144.8602
Altona North,21 Allan St,650000,Williams,-37.8451,144.8529
Altona North,56a First Av,925000,RT,,
Altona North,85a First Av,670000,Greg,,
Altona North,22 Joel Av,680000,Hunter,,
Altona North,11 Mahon Av,765000,Greg,,
Altona North,2/36 May St,675000,hockingstuart,-37.8337,144.8554
Altona North,11 Beevers St,708000,Greg,-37.8258,144.8523
Altona North,2/10 Cleghorn Av,656000,Gunn&Co,,
Altona North,2 Edward Av,883000,hockingstuart,,
Altona North,10 Murphy St,965000,Gunn&Co,-37.8345,144.8444
Altona North,128 Second Av,870000,Hunter,,
Altona North,5/24 Valerian Av,681000,Village,,
Altona North,2/31 Cooper Av,522500,hockingstuart,,
Altona North,9 Begonia Av,972000,Sweeney,,
Altona North,1/36 Amaranth Av,590000,RT,,
Altona North,3/36 Amaranth Av,450000,RT,,
Altona North,61 Cooper Av,765000,Greg,,
Altona North,10 Freemans St,750000,Greg,,
Altona North,16 Beevers St,680000,Sweeney,-37.8254,144.8514
Altona North,150A McIntosh Rd,510000,Williams,,
Altona North,21 Neal Ct,770000,hockingstuart,-37.8327,144.8451
Altona North,31 Duosa Rd,923000,Greg,-37.8269,144.8455
Altona North,252 Millers Rd,693000,Raine&Horne,-37.8391,144.8467
Altona North,1/156 Chambers Rd,620000,Hunter,-37.8262,144.8443
Altona North,19 Cleghorn Av,800000,Buxton,,
Altona North,2 Gadsden St,728500,Jas,-37.8277,144.8385
Altona North,24 Hansen St,931000,hockingstuart,-37.8382,144.8649
Altona North,4 Prismall St,988000,Sweeney,-37.8423,144.8632
Altona North,1/21 Freemans Rd,590000,RT,,
Altona North,122 McIntosh Rd,590000,Village,-37.8444,144.8491
Altona North,35 May St,610000,RT,-37.834,144.8553
Altona North,6 Hill St,815000,hockingstuart,-37.8318,144.8388
Altona North,84 May St,970000,Greg,-37.833,144.8494
Altona North,81 Fifth Av,840000,hockingstuart,,
Altona North,23 Huxtable Av,840000,Sweeney,,
Altona North,155 Chambers Rd,760000,Hunter,-37.8262,144.8439
Altona North,61a First Av,852500,RT,,
Altona North,268d Mason St,847500,RT,-37.8393,144.8568
Altona North,5 Cresser St,1200000,RT,-37.8375,144.8541
Altona North,1/33 Fifth Av,630000,RT,,
Altona North,107 McIntosh Rd,700000,Hunter,-37.8441,144.8505
Altona North,10 Knapp St,625000,Hunter,-37.8285,144.8351
Altona North,4/221 Blackshaws Rd,292000,Jas,-37.8332,144.8649
Altona North,56a MacDonald Av,640000,hockingstuart,,
Altona North,126 Sixth Av,800000,RT,,
Armadale,8/19 Mercer Rd,599000,Jellis,-37.8543,145.0262
Armadale,1/42 Adelaide St,550000,Noel,-37.8539,145.0284
Armadale,14/71 Denbigh Rd,995000,Marshall,-37.8552,145.016
Armadale,4/769 High St,1205000,Jellis,-37.854,145.0135
Armadale,28 Lambeth Av,2675000,Marshall,,
Armadale,7 Llaneast St,1939000,Jellis,-37.8614,145.0274
Armadale,9/55 Northcote Rd,421500,Biggin,-37.853,145.0167
Armadale,1/7 Railway Av,585000,hockingstuart,,
Armadale,65 Barkly Av,2050000,Marshall,,
Armadale,28 Cambridge St,1870000,Hodges,-37.8592,145.0182
Armadale,3/16 Fulton St,678000,hockingstuart,-37.8538,145.0127
Armadale,3/20 Mercer Rd,1918000,Jellis,-37.8537,145.0267
Armadale,1/77 Wattletree Rd,660000,hockingstuart,-37.8619,145.0257
Armadale,12 Willis St,2050000,Marshall,-37.8574,145.0281
Armadale,8/71 Denbigh Rd,700000,Jellis,-37.8552,145.016
Armadale,11/17 Myamyn St,3625000,Jellis,-37.8555,145.0291
Armadale,526 Orrong Rd,3000000,Jellis,-37.858,145.0111
Armadale,37 Barkly Av,1930000,Jellis,,
Armadale,553 Dandenong Rd,1525000,Jellis,-37.8638,145.0229
Armadale,9/19 Mercer Rd,735000,Marshall,-37.8543,145.0262
Armadale,6/26 Mercer Rd,825000,Jellis,-37.8528,145.0268
Armadale,538a Orrong Rd,1586000,RT,-37.8566,145.0116
Armadale,18/41 Kooyong Rd,645000,Marshall,-37.8596,145.0198
Armadale,10 William St,1435000,Jellis,-37.8564,145.0228
Armadale,15/405 Dandenong Rd,280000,hockingstuart,-37.8619,145.0185
Armadale,1/2 Armadale St,400000,hockingstuart,-37.8605,145.0185
Armadale,4/20 Mercer Rd,1780000,Marshall,-37.8537,145.0267
Armadale,8/58 Sutherland Rd,592500,hockingstuart,-37.8574,145.0174
Armadale,40 New St,1210000,Marshall,-37.8543,145.016
Armadale,35 Northcote Rd,2801000,Marshall,-37.8536,145.0173
Armadale,7/53 Wattletree Rd,390000,Jellis,-37.8614,145.0222
Armadale,791 High St,1800000,RT,-37.8545,145.0145
Armadale,25 Llaneast St,2200000,Jellis,-37.8613,145.0264
Armadale,8/569 Orrong Rd,324000,Jellis,-37.8537,145.0114
Armadale,367 Dandenong Rd,5525000,Marshall,-37.8602,145.013
Armadale,34a Rose St,1125000,RT,-37.851,145.0161
Armadale,42 Rose St,2250000,Marshall,-37.8511,145.0167
Armadale,12 Auburn Gr,2360000,hockingstuart,-37.8558,145.015
Armadale,31 Hume St,1900000,Jellis,-37.8571,145.0224
Armadale,10/581 Orrong Rd,440000,Jellis,-37.8531,145.0115
Armadale,7/579 Dandenong Rd,490000,Ray,-37.8646,145.0247
Armadale,19 Glassford St,2365000,Marshall,-37.8521,145.019
Armadale,14 New St,1300000,Jellis,-37.8542,145.0149
Armadale,7/501 Orrong Rd,732000,Gary,-37.8597,145.0104
Armadale,6/51 Armadale St,704000,Greg,-37.8573,145.0186
Armadale,12/41 Kooyong Rd,620000,Marshall,-37.8596,145.0198
Armadale,63 Denbigh Rd,1900000,Marshall,-37.8559,145.0158
Armadale,13/56 Sutherland Rd,315000,Fletchers,-37.8575,145.0174
Armadale,48 Barkly Av,1992000,Jellis,,
Armadale,7/22 Derby St,450000,hockingstuart,-37.8509,145.0203
Armadale,10/51 Armadale St,710000,Jellis,-37.8573,145.0186
Armadale,2/377 Dandenong Rd,872000,Jellis,-37.8604,145.0147
Armadale,1/14 Denbigh Rd,598000,hockingstuart,-37.8593,145.0156
Armadale,75 Sutherland Rd,1285000,Marshall,-37.8554,145.0173
Armadale,61 Union St,3660000,Jellis,-37.8593,145.0275
Armadale,1/403 Dandenong Rd,520000,hockingstuart,-37.8618,145.0183
Armadale,7 Lambeth Av,2760000,Marshall,,
Armadale,10/507 Dandenong Rd,690000,Jellis,,
Armadale,44 Denbigh Rd,3625000,Jellis,-37.8574,145.016
Armadale,44 Hampden Rd,4200000,Kay,-37.8582,145.0138
Armadale,3/769 High St,1101000,Jellis,-37.8542,145.0135
Armadale,4 Mercer Rd,3512500,Marshall,-37.8557,145.0264
Armadale,17 Kooyong Rd,2000000,Marshall,-37.8611,145.0195
Armadale,1/31 Mercer Rd,869000,Jellis,-37.853,145.0264
Armadale,8/507 Dandenong Rd,577000,Jellis,,
Armadale,37 Lambeth Av,2865000,Marshall,,
Armadale,16 Llaneast St,2810000,Marshall,-37.8611,145.0271
Armadale,2/532 Orrong Rd,565000,Ray,-37.8573,145.0112
Armadale,5/555 Orrong Rd,567000,hockingstuart,-37.8549,145.0113
Armadale,3/50 Denbigh Rd,546000,hockingstuart,-37.8568,145.0161
Armadale,7/844 Malvern Rd,471500,Ray,-37.8503,145.0185
Ascot Vale,2/43 Roxburgh St,455000,Nelson,-37.7756,144.9165
Ascot Vale,30 Rothwell St,940000,Nelson,-37.7777,144.9195
Ascot Vale,9/5 Rothwell St,467000,Brad,-37.7761,144.9201
Ascot Vale,42 Archer Av,895000,Nelson,,
Ascot Vale,7 Francis St,1380000,Nelson,-37.7777,144.9221
Ascot Vale,2/21 Harold St,490000,Jellis,-37.7736,144.9015
Ascot Vale,44 The Parade,1850000,Brad,-37.7729,144.9179
Ascot Vale,97 Walter St,1284000,Woodards,-37.7758,144.9089
Ascot Vale,98 Epsom Rd,971000,Nelson,-37.775,144.9091
Ascot Vale,8 Geddes St,710000,Nelson,-37.7776,144.9142
Ascot Vale,75 Maribyrnong Rd,2425000,Brad,-37.7721,144.9184
Ascot Vale,119 Roseberry St,750000,Maddison,-37.7745,144.9093
Ascot Vale,25 Station Av,840000,Brad,,
Ascot Vale,10 Fenton St,1053000,Nelson,-37.7748,144.929
Ascot Vale,10 McCully St,1377000,Nelson,-37.7756,144.9208
Ascot Vale,120 Epsom Rd,970000,Brad,-37.7759,144.91
Ascot Vale,47 Hurtle St,940000,Nelson,-37.773,144.9049
Ascot Vale,63 Kent St,751000,Nelson,-37.7807,144.9288
Ascot Vale,4 The Parade,950000,Raine,-37.7731,144.9206
Ascot Vale,1/17 Epsom Rd,685000,Brad,-37.7718,144.9066
Ascot Vale,41 Monash St,1230000,Nelson,-37.7819,144.9064
Ascot Vale,2/78 Ormond Rd,636500,Jellis,-37.7738,144.9345
Ascot Vale,83 Roseberry St,910000,Raine,-37.7746,144.9112
Ascot Vale,7a Station Av,872500,Jellis,,
Ascot Vale,51 Francis St,770000,Nelson,-37.7774,144.9186
Ascot Vale,5/39 Sandown Rd,490000,Alexkarbon,,
Ascot Vale,33 Dalgety Dr,960000,Walshe,-37.7778,144.9065
Ascot Vale,12 Mirams St,890000,Raine,-37.7766,144.9143
Ascot Vale,2 The Parade,965000,Nelson,-37.7732,144.9206
Ascot Vale,17 Aspect Av,1200000,Nelson,,
Ascot Vale,78 The Parade,1440000,Nelson,-37.7725,144.9146
Ascot Vale,11 Ascot St,955000,Woodards,-37.7825,144.9208
Ascot Vale,24/54 Epsom Rd,450000,Nelson,-37.7731,144.9074
Ascot Vale,2 Farncomb St,801000,Jellis,-37.781,144.9207
Ascot Vale,6 Leonard Cr,770000,Rendina,,
Ascot Vale,26 Newsom St,1000000,Brad,-37.7746,144.9031
Ascot Vale,8 Pentland St,1435000,Nelson,-37.7737,144.904
Ascot Vale,8/129 The Parade,390000,Alexkarbon,-37.7723,144.9094
Ascot Vale,52 Monash St,1425000,Jellis,-37.7821,144.9055
Ascot Vale,32 Myross Av,925000,Nelson,,
Ascot Vale,58 Fenton St,1340000,Nelson,-37.775,144.932
Ascot Vale,70 Munro St,955000,Brad,-37.7753,144.9116
Ascot Vale,1 Nairn Av,1075000,Jellis,,
Ascot Vale,125 Epsom Rd,1100000,Nelson,-37.7791,144.9136
Ascot Vale,33 Hockey La,1255000,Nelson,-37.7759,144.9338
Ascot Vale,55 Hunt Cr,1483000,Brad,,
Ascot Vale,3/28 Ormond Rd,432000,Biggin,-37.773,144.9303
Ascot Vale,7 Angler Pde,1640000,Raine,-37.782,144.903
Ascot Vale,26 Ayr St,1430000,Nelson,-37.78,144.9295
Ascot Vale,2/127 Epsom Rd,610000,Brad,-37.7791,144.914
Ascot Vale,57 The Parade,940000,Nelson,-37.7727,144.9136
Ascot Vale,62 Mirams St,890000,Brad,-37.7765,144.9114
Ascot Vale,4 Morphett Av,1505000,Brad,,
Ascot Vale,67 Hurtle St,1180000,Brad,-37.7742,144.906
Ascot Vale,95 Walter St,1480000,Raine,-37.7757,144.9088
